kdkab	namakab	KDKEC	NAMA_KEC	KDKEL	DESA_KEL	DAK_LK	DAK_PR	DAK
7301	SELAYAR	730101	BENTENG	7301011001	BENTENG UTARA	2645	2790	5435
7301	SELAYAR	730101	BENTENG	7301011002	BENTENG	5468	5847	11315
7301	SELAYAR	730101	BENTENG	7301011003	BENTENG SELATAN	3646	3819	7465
7301	SELAYAR	730102	BONTOHARU	7301021001	PUTABANGUN	905	931	1836
7301	SELAYAR	730102	BONTOHARU	7301021002	BONTOBANGUN	907	982	1889
7301	SELAYAR	730102	BONTOHARU	7301022003	BONTOSUNGGU	951	1012	1963
7301	SELAYAR	730102	BONTOHARU	7301022004	BONTOBORUSU	838	831	1669
7301	SELAYAR	730102	BONTOHARU	7301022005	BONTOLEBANG	459	449	908
7301	SELAYAR	730102	BONTOHARU	7301022006	BONTOTANGKA	717	722	1439
7301	SELAYAR	730102	BONTOHARU	7301022007	KAHU-KAHU	975	984	1959
7301	SELAYAR	730102	BONTOHARU	7301022008	KALEPADANG	796	828	1624
7301	SELAYAR	730103	BONTOMATENE	7301031001	BATANGMATA	716	780	1496
7301	SELAYAR	730103	BONTOMATENE	7301031002	BATANGMATA SAPO	518	567	1085
7301	SELAYAR	730103	BONTOMATENE	7301032003	PAMATATA	406	487	893
7301	SELAYAR	730103	BONTOMATENE	7301032004	TANETE	1021	1217	2238
7301	SELAYAR	730103	BONTOMATENE	7301032005	BONGAIYA	856	916	1772
7301	SELAYAR	730103	BONTOMATENE	7301032006	KAYU BAUK	486	561	1047
7301	SELAYAR	730103	BONTOMATENE	7301032007	BARAT LAMBONGAN	471	522	993
7301	SELAYAR	730103	BONTOMATENE	7301032008	BONTONASALUK	752	861	1613
7301	SELAYAR	730103	BONTOMATENE	7301032009	ONTO	454	513	967
7301	SELAYAR	730103	BONTOMATENE	7301032010	MAHARAYYA	383	371	754
7301	SELAYAR	730103	BONTOMATENE	7301032011	MENARA INDAH	349	389	738
7301	SELAYAR	730103	BONTOMATENE	7301032015	TAMALANREA	342	380	722
7301	SELAYAR	730104	BONTO MANAI	7301042001	PARAK	1291	1281	2572
7301	SELAYAR	730104	BONTO MANAI	7301042002	BARUGAIYA	712	744	1456
7301	SELAYAR	730104	BONTO MANAI	7301042003	JAMBUIYA	754	845	1599
7301	SELAYAR	730104	BONTO MANAI	7301042004	MARE MARE	459	471	930
7301	SELAYAR	730104	BONTO MANAI	7301042005	POLEBUNGIN	704	733	1437
