kdkab	namakab	KDKEC	NAMA_KEC	KDKEL	DESA_KEL	LAKI	PEREMP	ISLAM	KRISTEN	KATHOLIK	HINDU	BUDHA	KONGHUCU	KEPERCAYAAN	JML_DUK
7301	SELAYAR	730101	BENTENG	7301011001	BENTENG UTARA	2645	2790	5415	14	4	0	2	0	0	5435
7301	SELAYAR	730101	BENTENG	7301011002	BENTENG	5468	5847	10901	383	8	1	20	2	0	11315
7301	SELAYAR	730101	BENTENG	7301011003	BENTENG SELATAN	3646	3819	7349	99	14	0	3	0	0	7465
7301	SELAYAR	730102	BONTOHARU	7301021001	PUTABANGUN	905	931	1836	0	0	0	0	0	0	1836
7301	SELAYAR	730102	BONTOHARU	7301021002	BONTOBANGUN	907	982	1884	5	0	0	0	0	0	1889
7301	SELAYAR	730102	BONTOHARU	7301022003	BONTOSUNGGU	951	1012	1962	0	0	1	0	0	0	1963
7301	SELAYAR	730102	BONTOHARU	7301022004	BONTOBORUSU	838	831	1669	0	0	0	0	0	0	1669
7301	SELAYAR	730102	BONTOHARU	7301022005	BONTOLEBANG	459	449	907	1	0	0	0	0	0	908
7301	SELAYAR	730102	BONTOHARU	7301022006	BONTOTANGKA	717	722	1438	1	0	0	0	0	0	1439
7301	SELAYAR	730102	BONTOHARU	7301022007	KAHU-KAHU	975	984	1958	1	0	0	0	0	0	1959
7301	SELAYAR	730102	BONTOHARU	7301022008	KALEPADANG	796	828	1623	1	0	0	0	0	0	1624
7301	SELAYAR	730103	BONTOMATENE	7301031001	BATANGMATA	716	780	1483	13	0	0	0	0	0	1496
7301	SELAYAR	730103	BONTOMATENE	7301031002	BATANGMATA SAPO	518	567	1085	0	0	0	0	0	0	1085
7301	SELAYAR	730103	BONTOMATENE	7301032003	PAMATATA	406	487	892	1	0	0	0	0	0	893
7301	SELAYAR	730103	BONTOMATENE	7301032004	TANETE	1021	1217	2237	1	0	0	0	0	0	2238
7301	SELAYAR	730103	BONTOMATENE	7301032005	BONGAIYA	856	916	1771	1	0	0	0	0	0	1772
7301	SELAYAR	730103	BONTOMATENE	7301032006	KAYU BAUK	486	561	1041	6	0	0	0	0	0	1047
7301	SELAYAR	730103	BONTOMATENE	7301032007	BARAT LAMBONGAN	471	522	993	0	0	0	0	0	0	993
7301	SELAYAR	730103	BONTOMATENE	7301032008	BONTONASALUK	752	861	1613	0	0	0	0	0	0	1613
7301	SELAYAR	730103	BONTOMATENE	7301032009	ONTO	454	513	967	0	0	0	0	0	0	967
7301	SELAYAR	730103	BONTOMATENE	7301032010	MAHARAYYA	383	371	754	0	0	0	0	0	0	754
7301	SELAYAR	730103	BONTOMATENE	7301032011	MENARA INDAH	349	389	738	0	0	0	0	0	0	738
7301	SELAYAR	730103	BONTOMATENE	7301032015	TAMALANREA	342	380	722	0	0	0	0	0	0	722
7301	SELAYAR	730104	BONTO MANAI	7301042001	PARAK	1291	1281	2571	0	0	1	0	0	0	2572
7301	SELAYAR	730104	BONTO MANAI	7301042002	BARUGAIYA	712	744	1456	0	0	0	0	0	0	1456
7301	SELAYAR	730104	BONTO MANAI	7301042003	JAMBUIYA	754	845	1597	2	0	0	0	0	0	1599
7301	SELAYAR	730104	BONTO MANAI	7301042004	MARE MARE	459	471	930	0	0	0	0	0	0	930
7301	SELAYAR	730104	BONTO MANAI	7301042005	POLEBUNGIN	704	733	1428	0	0	9	0	0	0	1437
7301	SELAYAR	730104	BONTO MANAI	7301042006	BONEA MAKMUR	685	723	1408	0	0	0	0	0	0	1408
7301	SELAYAR	730104	BONTO MANAI	7301042008	BONTOMARANNU	780	766	1546	0	0	0	0	0	0	1546
7301	SELAYAR	730104	BONTO MANAI	7301042010	BONEA TIMUR	875	883	1758	0	0	0	0	0	0	1758
7301	SELAYAR	730104	BONTO MANAI	7301042011	BONTO KORAANG	398	406	803	1	0	0	0	0	0	804
7301	SELAYAR	730105	BONTOSIKUYU	7301052001	HARAPAN	1304	1393	2647	45	5	0	0	0	0	2697
7301	SELAYAR	730105	BONTOSIKUYU	7301052002	PATIKARYA	701	749	1450	0	0	0	0	0	0	1450
7301	SELAYAR	730105	BONTOSIKUYU	7301052003	PATILERENG	463	513	976	0	0	0	0	0	0	976
7301	SELAYAR	730105	BONTOSIKUYU	7301052004	LAIYOLO BARU	486	480	963	3	0	0	0	0	0	966
7301	SELAYAR	730105	BONTOSIKUYU	7301052005	LAIYOLO	694	703	1396	1	0	0	0	0	0	1397
7301	SELAYAR	730105	BONTOSIKUYU	7301052006	LANTIMBONGAN	618	601	1192	27	0	0	0	0	0	1219
7301	SELAYAR	730105	BONTOSIKUYU	7301052007	BINANGA SOMBAIYA	700	762	1215	123	0	124	0	0	0	1462
7301	SELAYAR	730105	BONTOSIKUYU	7301052008	LOWA	618	672	1236	44	0	10	0	0	0	1290
7301	SELAYAR	730105	BONTOSIKUYU	7301052009	APPATANAH	500	501	1001	0	0	0	0	0	0	1001
7301	SELAYAR	730105	BONTOSIKUYU	7301052010	TAMBOLONGAN	610	627	1237	0	0	0	0	0	0	1237
7301	SELAYAR	730105	BONTOSIKUYU	7301052011	POLASSI	648	666	1314	0	0	0	0	0	0	1314
7301	SELAYAR	730106	PASIMASSUNGGU	7301062001	KEMBANG RAGI	1129	1280	2409	0	0	0	0	0	0	2409
7301	SELAYAR	730106	PASIMASSUNGGU	7301062003	MAMINASA	945	1014	1955	1	3	0	0	0	0	1959
7301	SELAYAR	730106	PASIMASSUNGGU	7301062005	TANAMALALA	439	464	903	0	0	0	0	0	0	903
7301	SELAYAR	730106	PASIMASSUNGGU	7301062006	LABUANG PAMAJANG	574	609	1183	0	0	0	0	0	0	1183
7301	SELAYAR	730106	PASIMASSUNGGU	7301062007	MASSUNGKE	442	488	930	0	0	0	0	0	0	930
7301	SELAYAR	730106	PASIMASSUNGGU	7301062009	BONTOSAILE	351	390	741	0	0	0	0	0	0	741
7301	SELAYAR	730106	PASIMASSUNGGU	7301062011	TELUK KAMPE	5	8	13	0	0	0	0	0	0	13
7301	SELAYAR	730107	PASIMARANNU	7301072001	BONERATE	1460	1536	2995	1	0	0	0	0	0	2996
7301	SELAYAR	730107	PASIMARANNU	7301072002	MAJAPAHIT	1148	1198	2345	1	0	0	0	0	0	2346
7301	SELAYAR	730107	PASIMARANNU	7301072003	BATU BINGKUNG	578	604	1182	0	0	0	0	0	0	1182
7301	SELAYAR	730107	PASIMARANNU	7301072004	BONEA	555	566	1120	1	0	0	0	0	0	1121
7301	SELAYAR	730107	PASIMARANNU	7301072005	LAMBEGO	406	400	806	0	0	0	0	0	0	806
7301	SELAYAR	730107	PASIMARANNU	7301072006	KOMBA-KOMBA	370	353	723	0	0	0	0	0	0	723
7301	SELAYAR	730107	PASIMARANNU	7301072007	LAMANTU	504	540	1044	0	0	0	0	0	0	1044
7301	SELAYAR	730108	TAKA BONERATE	7301082001	KAYUADI	1342	1410	2751	1	0	0	0	0	0	2752
7301	SELAYAR	730108	TAKA BONERATE	7301082002	BATANG	881	934	1815	0	0	0	0	0	0	1815
7301	SELAYAR	730108	TAKA BONERATE	7301082003	NYIUR INDAH	768	781	1548	1	0	0	0	0	0	1549
7301	SELAYAR	730108	TAKA BONERATE	7301082004	TAMBUNA	738	835	1573	0	0	0	0	0	0	1573
7301	SELAYAR	730108	TAKA BONERATE	7301082005	JINATO	643	576	1218	0	1	0	0	0	0	1219
