kdkab	namakab	KDKEC	NAMA_KEC	KDKEL	DESA_KEL	LAKI	PEREMP	BELUM_TIDAK_BEKERJA	MENGURUS_RUMAH_TANGGA	PELAJAR_MAHASISWA	PENSIUNAN	PEGAWAI_NEGERI_SIPIL	TENTARA_NASIONAL_INDONESIA	KEPOLISIAN_RI	PERDAGANGAN	PETANI_PEKEBUN	PETERNAK	NELAYAN_PERIKANAN	INDUSTRI	KONSTRUKSI	TRANSPORTASI	KARYAWAN_SWASTA	KARYAWAN_BUMN	KARYAWAN_BUMD	KARYAWAN_HONORER	BURUH_HARIAN_LEPAS	BURUH_TANI_PERKEBUNAN	BURUH_NELAYAN_PERIKANAN	BURUH_PETERNAKAN	PEMBANTU_RUMAH_TANGGA	TUKANG_CUKUR	TUKANG_LISTRIK	TUKANG_BATU	TUKANG_KAYU	TUKANG_SOL_SEPATU	TUKANG_LAS_PANDAI_BESI	TUKANG_JAHIT	TUKANG_GIGI	PENATA_RIAS	PENATA_BUSANA	PENATA_RAMBUT	MEKANIK	SENIMAN	TABIB	PARAJI	PERANCANG_BUSANA	PENTERJEMAH	IMAM_MESJID	PENDETA	PASTOR	WARTAWAN	USTADZ_MUBALIGH	JURU_MASAK	PROMOTOR_ACARA	ANGGOTA_DPR_RI	ANGGOTA_DPD	ANGGOTA_BPK	PRESIDEN	WAKIL_PRESIDEN	ANGGOTA_MAHKAMAH_KONSTITUSI	ANGGOTA_KABINET_KEMENTERIAN	DUTA_BESAR	GUBERNUR	WAKIL_GUBERNUR	BUPATI	WAKIL_BUPATI	WALIKOTA	WAKIL_WALIKOTA	ANGGOTA_DPRD_PROVINSI	ANGGOTA_DPRD_KABUPATEN_KOTA	DOSEN	GURU	PILOT	PENGACARA	NOTARIS	ARSITEK	AKUNTAN	KONSULTAN	DOKTER	BIDAN	PERAWAT	APOTEKER	PSIKIATER_PSIKOLOG	PENYIAR_TELEVISI	PENYIAR_RADIO	PELAUT	PENELITI	SOPIR	PIALANG	PARANORMAL	PEDAGANG	PERANGKAT_DESA	KEPALA_DESA	BIARAWATI	WIRASWASTA	LAINNYA	JML_DUK
7301	SELAYAR	730101	BENTENG	7301011001	BENTENG UTARA	2645	2790	1461	857	1151	122	436	54	31	8	92	0	14	1	3	43	18	13	2	126	55	1	4	0	0	0	0	47	33	0	5	11	2	1	0	0	3	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	66	0	0	0	0	0	2	1	0	1	0	0	0	0	1	0	14	0	0	52	0	1	0	694	0	5435
7301	SELAYAR	730101	BENTENG	7301011002	BENTENG	5468	5847	3469	1426	2070	331	1118	24	166	39	71	2	26	0	5	43	58	47	10	287	40	1	1	0	37	2	0	20	26	1	0	7	0	1	0	1	0	2	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	18	3	146	0	0	1	2	0	7	7	0	5	0	0	0	0	5	0	15	0	0	44	1	2	0	1676	45	11315
7301	SELAYAR	730101	BENTENG	7301011003	BENTENG SELATAN	3646	3819	2366	1100	1285	140	636	4	55	18	64	2	43	0	1	58	39	18	4	118	84	3	3	0	4	0	0	58	15	0	0	11	0	1	0	0	0	0	0	0	0	0	1	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	77	0	1	0	0	0	0	5	0	3	0	0	0	0	17	0	24	0	0	26	0	0	0	1117	57	7465
7301	SELAYAR	730102	BONTOHARU	7301021001	PUTABANGUN	905	931	543	404	300	21	105	4	4	0	141	2	2	0	0	2	9	2	10	58	28	1	0	0	2	0	0	18	5	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	2	1	0	0	151	0	1836
7301	SELAYAR	730102	BONTOHARU	7301021002	BONTOBANGUN	907	982	530	379	340	18	105	2	3	0	205	0	21	0	0	4	6	0	1	33	11	0	0	0	1	0	0	19	5	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	8	0	0	0	174	0	1889
7301	SELAYAR	730102	BONTOHARU	7301022003	BONTOSUNGGU	951	1012	756	450	228	11	33	2	1	3	75	0	225	0	0	0	0	0	0	13	1	0	0	0	2	0	0	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	4	2	0	0	138	0	1963
7301	SELAYAR	730102	BONTOHARU	7301022004	BONTOBORUSU	838	831	482	383	317	9	13	0	0	0	117	0	268	0	0	1	3	0	0	7	3	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	4	1	0	49	0	1669
7301	SELAYAR	730102	BONTOHARU	7301022005	BONTOLEBANG	459	449	207	225	187	0	0	0	0	1	3	0	248	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	32	0	908
7301	SELAYAR	730102	BONTOHARU	7301022006	BONTOTANGKA	717	722	452	313	237	12	23	2	0	2	230	0	4	0	0	0	3	0	0	17	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	4	0	0	120	1	1439
7301	SELAYAR	730102	BONTOHARU	7301022007	KAHU-KAHU	975	984	498	484	346	2	7	1	0	11	51	0	453	0	0	0	2	1	0	4	0	0	0	0	0	0	0	4	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	1	0	68	0	1959
