kdkab	namakab	KDKEC	NAMA_KEC	KDKEL	DESA_KEL	LAKI	PEREMP	BLM_SKLH	TDK_TM_SD	TM_SD	SLTP	SLTA	DIP_II	DIP_III	STR_I	STR_II	STR_III	JML_DUK
7301	SELAYAR	730101	BENTENG	7301011001	BENTENG UTARA	2645	2790	1124	556	959	689	1435	120	139	394	19	0	5435
7301	SELAYAR	730101	BENTENG	7301011002	BENTENG	5468	5847	2145	1089	1661	1331	3251	288	298	1184	66	2	11315
7301	SELAYAR	730101	BENTENG	7301011003	BENTENG SELATAN	3646	3819	1593	854	1514	898	1758	177	129	517	25	0	7465
7301	SELAYAR	730102	BONTOHARU	7301021001	PUTABANGUN	905	931	436	226	411	232	418	31	22	59	1	0	1836
7301	SELAYAR	730102	BONTOHARU	7301021002	BONTOBANGUN	907	982	401	234	596	218	310	28	19	79	4	0	1889
7301	SELAYAR	730102	BONTOHARU	7301022003	BONTOSUNGGU	951	1012	518	291	714	179	198	18	10	33	2	0	1963
7301	SELAYAR	730102	BONTOHARU	7301022004	BONTOBORUSU	838	831	418	291	638	186	106	12	3	15	0	0	1669
7301	SELAYAR	730102	BONTOHARU	7301022005	BONTOLEBANG	459	449	222	321	267	57	36	2	1	2	0	0	908
7301	SELAYAR	730102	BONTOHARU	7301022006	BONTOTANGKA	717	722	360	230	478	157	169	21	9	13	2	0	1439
7301	SELAYAR	730102	BONTOHARU	7301022007	KAHU-KAHU	975	984	542	615	605	100	81	2	4	9	1	0	1959
7301	SELAYAR	730102	BONTOHARU	7301022008	KALEPADANG	796	828	477	193	483	207	207	22	12	22	1	0	1624
7301	SELAYAR	730103	BONTOMATENE	7301031001	BATANGMATA	716	780	316	155	307	160	390	47	26	94	0	1	1496
7301	SELAYAR	730103	BONTOMATENE	7301031002	BATANGMATA SAPO	518	567	301	200	139	111	210	41	19	63	1	0	1085
7301	SELAYAR	730103	BONTOMATENE	7301032003	PAMATATA	406	487	407	63	122	102	151	18	8	22	0	0	893
