kdkab	namakab	kdkec	namakec	kdkel	desakel	laki	perempuan	blm_kwn	kwn	cr_hdp	cr_mati	jml_duk
7301	SELAYAR	730101	BENTENG	7301011001	BENTENG UTARA	2645	2790	2735	2445	42	213	5435
7301	SELAYAR	730101	BENTENG	7301011002	BENTENG	5468	5847	5962	4930	73	350	11315
7301	SELAYAR	730101	BENTENG	7301011003	BENTENG SELATAN	3646	3819	3895	3257	53	260	7465
7301	SELAYAR	730102	BONTOHARU	7301021001	PUTABANGUN	905	931	899	828	16	93	1836
7301	SELAYAR	730102	BONTOHARU	7301021002	BONTOBANGUN	907	982	933	843	19	94	1889
7301	SELAYAR	730102	BONTOHARU	7301022003	BONTOSUNGGU	951	1012	1037	810	23	93	1963
7301	SELAYAR	730102	BONTOHARU	7301022004	BONTOBORUSU	838	831	912	671	15	71	1669
7301	SELAYAR	730102	BONTOHARU	7301022005	BONTOLEBANG	459	449	462	411	5	30	908
7301	SELAYAR	730102	BONTOHARU	7301022006	BONTOTANGKA	717	722	728	612	11	88	1439
7301	SELAYAR	730102	BONTOHARU	7301022007	KAHU-KAHU	975	984	998	830	23	108	1959
7301	SELAYAR	730102	BONTOHARU	7301022008	KALEPADANG	796	828	880	630	12	102	1624
7301	SELAYAR	730103	BONTOMATENE	7301031001	BATANGMATA	716	780	733	640	10	113	1496
7301	SELAYAR	730103	BONTOMATENE	7301031002	BATANGMATA SAPO	518	567	500	500	3	82	1085
7301	SELAYAR	730103	BONTOMATENE	7301032003	PAMATATA	406	487	412	402	11	68	893
7301	SELAYAR	730103	BONTOMATENE	7301032004	TANETE	1021	1217	1010	1001	24	203	2238
7301	SELAYAR	730103	BONTOMATENE	7301032005	BONGAIYA	856	916	816	834	10	112	1772
7301	SELAYAR	730103	BONTOMATENE	7301032006	KAYU BAUK	486	561	354	581	6	106	1047
7301	SELAYAR	730103	BONTOMATENE	7301032007	BARAT LAMBONGAN	471	522	482	445	5	61	993
7301	SELAYAR	730103	BONTOMATENE	7301032008	BONTONASALUK	752	861	717	781	6	109	1613
7301	SELAYAR	730103	BONTOMATENE	7301032009	ONTO	454	513	468	404	10	85	967
7301	SELAYAR	730103	BONTOMATENE	7301032010	MAHARAYYA	383	371	371	335	5	43	754
7301	SELAYAR	730103	BONTOMATENE	7301032011	MENARA INDAH	349	389	334	347	6	51	738
7301	SELAYAR	730103	BONTOMATENE	7301032015	TAMALANREA	342	380	350	317	4	51	722
7301	SELAYAR	730104	BONTO MANAI	7301042001	PARAK	1291	1281	1355	1068	20	129	2572
7301	SELAYAR	730104	BONTO MANAI	7301042002	BARUGAIYA	712	744	697	670	17	72	1456
7301	SELAYAR	730104	BONTO MANAI	7301042003	JAMBUIYA	754	845	788	689	9	113	1599
7301	SELAYAR	730104	BONTO MANAI	7301042004	MARE MARE	459	471	457	417	5	51	930
7301	SELAYAR	730104	BONTO MANAI	7301042005	POLEBUNGIN	704	733	652	675	10	100	1437
7301	SELAYAR	730104	BONTO MANAI	7301042006	BONEA MAKMUR	685	723	700	634	9	65	1408
7301	SELAYAR	730104	BONTO MANAI	7301042008	BONTOMARANNU	780	766	700	714	24	108	1546
7301	SELAYAR	730104	BONTO MANAI	7301042010	BONEA TIMUR	875	883	883	790	8	77	1758
7301	SELAYAR	730104	BONTO MANAI	7301042011	BONTO KORAANG	398	406	392	367	6	39	804
7301	SELAYAR	730105	BONTOSIKUYU	7301052001	HARAPAN	1304	1393	1215	1298	21	163	2697
7301	SELAYAR	730105	BONTOSIKUYU	7301052002	PATIKARYA	701	749	695	646	16	93	1450
7301	SELAYAR	730105	BONTOSIKUYU	7301052003	PATILERENG	463	513	412	473	19	72	976
7301	SELAYAR	730105	BONTOSIKUYU	7301052004	LAIYOLO BARU	486	480	448	459	4	55	966
7301	SELAYAR	730105	BONTOSIKUYU	7301052005	LAIYOLO	694	703	682	643	9	63	1397
