kdkab	namakab	kdkec	namakec	kdkel	desakel	0-4Thn	5-9Thn	10-14Thn	15-19Thn	20-24Thn	25-29Thn	30-34Thn	35-39Thn	40-44Thn	45-49Thn	50-54Thn	55-59Thn	60-64Thn	65-69Thn	70-74Thn	>74Thn
7301	SELAYAR	730101	BENTENG	7301011001	BENTENG UTARA	164	582	539	459	439	489	490	409	445	329	310	209	171	123	114	120
7301	SELAYAR	730101	BENTENG	7301011002	BENTENG	347	1087	1016	846	1066	1074	1132	964	911	632	587	498	380	280	205	219
7301	SELAYAR	730101	BENTENG	7301011003	BENTENG SELATAN	278	761	798	621	610	686	734	591	569	444	424	278	211	182	110	125
7301	SELAYAR	730102	BONTOHARU	7301021001	PUTABANGUN	71	178	180	154	149	160	147	127	166	106	95	69	75	54	45	53
7301	SELAYAR	730102	BONTOHARU	7301021002	BONTOBANGUN	64	183	210	154	141	157	145	133	139	112	126	90	61	58	45	59
7301	SELAYAR	730102	BONTOHARU	7301022003	BONTOSUNGGU	76	258	240	172	155	162	166	151	114	98	94	81	51	43	35	57
7301	SELAYAR	730102	BONTOHARU	7301022004	BONTOBORUSU	54	203	226	136	136	142	128	112	114	94	73	71	56	43	34	40
7301	SELAYAR	730102	BONTOHARU	7301022005	BONTOLEBANG	47	99	112	84	75	53	78	74	72	71	50	37	21	11	10	13
7301	SELAYAR	730102	BONTOHARU	7301022006	BONTOTANGKA	47	153	165	113	120	130	110	119	89	76	70	65	62	44	32	40
7301	SELAYAR	730102	BONTOHARU	7301022007	KAHU-KAHU	58	238	230	153	142	181	174	132	131	128	116	92	65	44	30	40
7301	SELAYAR	730102	BONTOHARU	7301022008	KALEPADANG	67	197	189	140	109	133	119	128	79	106	75	77	59	46	30	66
7301	SELAYAR	730103	BONTOMATENE	7301031001	BATANGMATA	45	118	125	121	98	129	135	114	90	88	93	87	73	46	47	75
7301	SELAYAR	730103	BONTOMATENE	7301031002	BATANGMATA SAPO	37	89	90	78	65	64	71	79	85	62	52	63	64	38	40	92
7301	SELAYAR	730103	BONTOMATENE	7301032003	PAMATATA	24	83	66	68	48	65	61	79	61	48	53	42	43	50	45	55
7301	SELAYAR	730103	BONTOMATENE	7301032004	TANETE	29	133	176	155	168	180	172	98	122	153	161	141	111	118	109	185
7301	SELAYAR	730103	BONTOMATENE	7301032005	BONGAIYA	47	126	155	164	124	172	126	134	122	100	108	98	85	67	65	68
7301	SELAYAR	730103	BONTOMATENE	7301032006	KAYU BAUK	26	65	64	64	54	66	67	48	50	57	79	83	83	88	49	92
7301	SELAYAR	730103	BONTOMATENE	7301032007	BARAT LAMBONGAN	24	87	95	77	82	95	78	70	70	59	68	40	35	39	26	40
7301	SELAYAR	730103	BONTOMATENE	7301032008	BONTONASALUK	34	130	146	143	112	93	101	118	114	81	92	99	82	84	57	119
7301	SELAYAR	730103	BONTOMATENE	7301032009	ONTO	23	77	93	90	69	69	49	52	73	71	52	57	55	21	35	76
7301	SELAYAR	730103	BONTOMATENE	7301032010	MAHARAYYA	30	79	68	60	49	54	74	49	56	35	35	44	34	18	26	34
7301	SELAYAR	730103	BONTOMATENE	7301032011	MENARA INDAH	25	67	60	46	52	104	76	45	57	44	44	42	21	23	13	19
7301	SELAYAR	730103	BONTOMATENE	7301032015	TAMALANREA	16	60	77	58	40	62	55	50	52	44	43	35	25	0	0	0
7301	SELAYAR	730104	BONTO MANAI	7301042001	PARAK	97	241	297	209	198	226	227	204	167	144	145	110	89	82	50	76
7301	SELAYAR	730104	BONTO MANAI	7301042002	BARUGAIYA	51	126	140	98	123	117	146	103	109	92	71	69	62	63	24	57
7301	SELAYAR	730104	BONTO MANAI	7301042003	JAMBUIYA	27	158	184	134	111	132	113	114	96	85	119	78	73	62	50	56
7301	SELAYAR	730104	BONTO MANAI	7301042004	MARE MARE	28	84	80	83	59	66	78	67	81	64	55	44	44	35	24	33
7301	SELAYAR	730104	BONTO MANAI	7301042005	POLEBUNGIN	30	122	106	101	110	116	100	111	97	83	87	81	65	59	44	120
7301	SELAYAR	730104	BONTO MANAI	7301042006	BONEA MAKMUR	31	134	141	117	119	128	94	84	111	94	89	60	40	58	35	68
7301	SELAYAR	730104	BONTO MANAI	7301042008	BONTOMARANNU	48	147	175	122	105	123	133	97	108	88	98	89	53	37	42	75
7301	SELAYAR	730104	BONTO MANAI	7301042010	BONEA TIMUR	58	205	193	135	135	148	140	127	125	97	107	72	67	41	31	54
7301	SELAYAR	730104	BONTO MANAI	7301042011	BONTO KORAANG	24	90	72	63	49	73	63	64	66	59	33	39	21	0	0	0
