kdkab	namakab	kdkec	namakec	kdkel	desakel	pra_sekolah	sd_sederajat	sltp_sederajat	slta_sederajat	perguruan_tinggi	
7301	SELAYAR	730101	BENTENG	7301011001	BENTENG UTARA	379	720	288	273	3732	
7301	SELAYAR	730101	BENTENG	7301011002	BENTENG	754	1294	572	500	8124	
7301	SELAYAR	730101	BENTENG	7301011003	BENTENG SELATAN	548	989	431	364	5090	
7301	SELAYAR	730102	BONTOHARU	7301021001	PUTABANGUN	137	222	106	88	1276	
7301	SELAYAR	730102	BONTOHARU	7301021002	BONTOBANGUN	136	232	116	94	1299	
7301	SELAYAR	730102	BONTOHARU	7301022003	BONTOSUNGGU	176	313	128	101	1235	
7301	SELAYAR	730102	BONTOHARU	7301022004	BONTOBORUSU	124	265	114	86	1073	
7301	SELAYAR	730102	BONTOHARU	7301022005	BONTOLEBANG	83	138	52	53	581	
7301	SELAYAR	730102	BONTOHARU	7301022006	BONTOTANGKA	106	183	101	68	977	
7301	SELAYAR	730102	BONTOHARU	7301022007	KAHU-KAHU	148	301	112	95	1298	
7301	SELAYAR	730102	BONTOHARU	7301022008	KALEPADANG	151	222	110	83	1054	
7301	SELAYAR	730103	BONTOMATENE	7301031001	BATANGMATA	88	150	78	68	1100	
7301	SELAYAR	730103	BONTOMATENE	7301031002	BATANGMATA SAPO	68	112	57	42	790	
7301	SELAYAR	730103	BONTOMATENE	7301032003	PAMATATA	56	89	41	44	661	
7301	SELAYAR	730103	BONTOMATENE	7301032004	TANETE	87	182	102	89	1751	
7301	SELAYAR	730103	BONTOMATENE	7301032005	BONGAIYA	92	165	105	103	1296	
7301	SELAYAR	730103	BONTOMATENE	7301032006	KAYU BAUK	48	86	33	41	827	
7301	SELAYAR	730103	BONTOMATENE	7301032007	BARAT LAMBONGAN	63	101	54	50	717	
7301	SELAYAR	730103	BONTOMATENE	7301032008	BONTONASALUK	72	161	109	86	1177	
7301	SELAYAR	730103	BONTOMATENE	7301032009	ONTO	50	101	57	56	698	
7301	SELAYAR	730103	BONTOMATENE	7301032010	MAHARAYYA	61	95	33	43	513	
7301	SELAYAR	730103	BONTOMATENE	7301032011	MENARA INDAH	58	71	31	27	551	
7301	SELAYAR	730103	BONTOMATENE	7301032015	TAMALANREA	40	84	44	36	413	
7301	SELAYAR	730104	BONTO MANAI	7301042001	PARAK	178	341	172	118	1753	
7301	SELAYAR	730104	BONTO MANAI	7301042002	BARUGAIYA	95	171	79	49	1057	
7301	SELAYAR	730104	BONTO MANAI	7301042003	JAMBUIYA	87	212	94	88	1111	
