KDKAB	NAMAKAB	KDKEC	NAMA_KEC	KDKEL	DESA_KEL	DAK_LK	DAK_PR	DAK
7373	PALOPO	737301	WARA	7373011001	TOMPO TIKKA	2823	2913	5736
7373	PALOPO	737301	WARA	7373011002	BOTING	4385	4366	8751
7373	PALOPO	737301	WARA	7373011003	AMASSANGAN	2540	2760	5300
7373	PALOPO	737301	WARA	7373011005	LAGALIGO	3408	3316	6724
7373	PALOPO	737301	WARA	7373011009	DANGERAKKO	2922	2936	5858
7373	PALOPO	737301	WARA	7373011010	PAJALESANG	2668	2665	5333
7373	PALOPO	737302	WARA UTARA	7373021002	BATUPASI	1314	1376	2690
7373	PALOPO	737302	WARA UTARA	7373021003	SABBANPARU	2164	2128	4292
7373	PALOPO	737302	WARA UTARA	7373021005	SALOBULO	3015	3108	6123
7373	PALOPO	737302	WARA UTARA	7373021007	PENGGOLI	1503	1498	3001
7373	PALOPO	737302	WARA UTARA	7373021008	LUMINDA	1153	1224	2377
7373	PALOPO	737302	WARA UTARA	7373021009	PATTENE	1974	1917	3891
7373	PALOPO	737303	WARA SELATAN	7373031001	TAKKALALA	2199	2339	4538
7373	PALOPO	737303	WARA SELATAN	7373031002	SONGKA	1621	1620	3241
7373	PALOPO	737303	WARA SELATAN	7373031003	SAMPODDO	937	939	1876
7373	PALOPO	737303	WARA SELATAN	7373031004	BINTURU	1163	1163	2326
7373	PALOPO	737304	TELLUWANUA	7373041001	MANCANI	1274	1183	2457
7373	PALOPO	737304	TELLUWANUA	7373041002	BATU WALENRANG	843	842	1685
7373	PALOPO	737304	TELLUWANUA	7373041003	MAROANGIN	889	854	1743
7373	PALOPO	737304	TELLUWANUA	7373041004	PENTOJANGAN	1030	960	1990
7373	PALOPO	737304	TELLUWANUA	7373041005	JAYA	1879	1739	3618
7373	PALOPO	737304	TELLUWANUA	7373041006	SALUBATTANG	565	528	1093
7373	PALOPO	737304	TELLUWANUA	7373041007	SUMARAMBU	785	788	1573
